date,time,tweets
Feb. 2,6:25 a.m.,Attending Chief Ryan Owens’ Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!
Feb. 2,6:34 a.m.,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!
Feb. 2,6:39 a.m.,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion
Feb. 2,12:29 p.m.," Thank you, @Samsung! We would love to have you! axios.com/trump-effect-sams..."
Feb. 3,6:24 a.m.,"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!"
Feb. 3,6:28 a.m.,Iran is playing with fire - they don’t appreciate how “kind” President Obama was to them. Not me!
Feb. 3,6:34 a.m.,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!
Feb. 3,6:41 a.m.,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!"
Feb. 3,6:48 a.m.,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!"
Feb. 3,7:51 a.m.,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.
Feb. 3,6:08 p.m.,We must keep “evil” out of our country!
Feb. 3,10:07 p.m., Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!
Feb. 4,7:59 a.m.,"When a country is no longer able to say who can, and who cannot , come in & out, especially for reasons of safety &.security - big trouble!"
Feb. 4,8:06 a.m.,Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it’s death & destruction!
Feb. 4,8:12 a.m.,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!"
Feb. 4,8:39 a.m.,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!"
Feb. 4,3:44 p.m.,"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?"
Feb. 4,4:44 p.m.,"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision"
Feb. 4,6:37 p.m.,"Why aren’t the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?"
Feb. 4,7:34 p.m.,Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!
Feb. 4,7:48 p.m.,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!
Feb. 5,3:39 p.m.,Just cannot believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!
Feb. 5,3:42 p.m.,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!
,3:47 p.m.,I will be interviewed by @oreillyfactor at 4:00 P.M. (prior to the #SuperBowl Pre-game Show) on Fox Network. Enjoy!
Feb. 5,5:49 p.m.,Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!
Feb. 5,10:36 p.m.," What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!"
Feb. 6,7:01 a.m.,"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting."
Feb. 6,7:07 a.m.,"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!"
Feb. 6,11:27 a.m., Will be interviewed on @oreillyfactor tonight at 8:00 P.M.
Feb. 6,11:32 a.m.," The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories & sources!"
Feb. 6,6:33 p.m.,An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy!
Feb. 6,9:33 p.m.,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!
Feb. 6,9:49 p.m.,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!"
,7:04 a.m.,"I don’t know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1in terror, no problem!"
Feb. 7,7:11 a.m.,"I don’t know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!"
Feb. 7,11:25 a.m., An honor having the National Sheriffs’ Assoc. join me at the @WhiteHouse. Incredible men & women who protect & serve 24/7/365. THANK YOU!!
Feb. 7,8:04 p.m.,"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!"
Feb. 8,7:03 a.m.,"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!"
Feb. 8,8:04 a.m.,"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision......."
Feb. 8,10:23 a.m., Thank you to our great Police Chiefs & Sheriffs for your leadership & service. You have a true friend in the @WhiteHouse. We support you!
Feb. 8,10:51 a.m., My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!
Feb. 8,10:54 a.m., ‘16 Fake News Stories Reporters Have Run Since Trump Won’ thefederalist.com/20…
Feb. 8,12:41 p.m.," Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!"
Feb. 8,2:22 p.m.,"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS! #AmericaFirst"
Feb. 8,2:39 p.m.,‘Immigration Ban Is One Of Trump’s Most Popular Orders So Far’
Feb. 8,4:46 p.m.,"‘Majority in Leading EU Nations Support Trump-Style Travel Ban’ Poll of more than 10,000 people in 10 countries... nbcnews.com/storyl…"
Feb. 8,5:07 p.m.,‘Trump administration seen as more truthful than news media’ bit.ly/2k4b0imEmersonPoll
Feb. 8,8:05 p.m.,"Congratulations to our new Attorney General, @SenatorSessions!"
Feb. 9,6:57 a.m.,"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?"
Feb. 9,8:19 a.m.,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave “service” in Vietnam. FAKE NEWS!"
Feb. 9,8:26 a.m.,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He’s been losing so....
Feb. 9,8:31 a.m.,"...long he doesn’t know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero.."
Feb. 9,8:52 a.m.,"..Ryan died on a winning mission ( according to General Mattis), not a “failure.” Time for the U.S. to get smart and start winning again!"
Feb. 9,10:58 a.m.," Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions! LIVE: bit.ly/2kqq2f0Sessions"
Feb. 10,8:15 a.m.,"LAWFARE: “Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute.” A disgraceful decision!"
Feb. 10,8:35 a.m.,The failing @nytimes does major FAKE NEWS China story saying “Mr.Xi has not spoken to Mr. Trump since Nov.14.” We spoke at length yesterday!
Feb. 10,6:24 p.m.,Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzo earlier today.
Feb. 11,7:12 a.m.,Our legal system is broken! “77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries.” (WT) SO DANGEROUS!
Feb. 11,8:18 a.m.,"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the....."
